method,budget,n_reviewed,true_positives,precision,recall,false_positive_rate,cumulative_regret
LinUCB,0.001,6493,5,0.0007700600646850454,0.037037037037037035,0.0010252110586900147,1408.0
Static anomaly baseline,0.001,6493,3,0.00046203603881102723,0.022222222222222223,0.0010255270916920771,
LinUCB,0.005,31791,18,0.000566197980560536,0.13333333333333333,0.005020658287262306,1287.0
Static anomaly baseline,0.005,31791,27,0.000849296970840804,0.2,0.005019236138753025,
Coverage-balanced hybrid,0.01,63437,44,0.000693601525923357,0.32592592592592595,0.010017140049866848,
LinUCB,0.01,63437,35,0.0005517284865299431,0.25925925925925924,0.010018562198376128,1100.0
Static anomaly baseline,0.01,63437,32,0.0005044374733988051,0.23703703703703705,0.010019036247879221,
