date,emails,reviewed,true_positives,false_positives,available_malicious,oracle_true_positives,reward,oracle_reward
08/01/2010,1344,2,0,2,0,0,-2.0,-2.0
08/02/2010,30514,31,0,31,0,0,-31.0,-31.0
08/03/2010,30530,31,0,31,0,0,-31.0,-31.0
08/04/2010,30619,31,0,31,0,0,-31.0,-31.0
08/05/2010,30596,31,0,31,0,0,-31.0,-31.0
08/06/2010,30623,31,0,31,0,0,-31.0,-31.0
08/07/2010,1411,2,0,2,0,0,-2.0,-2.0
08/08/2010,1570,2,0,2,0,0,-2.0,-2.0
08/09/2010,30470,31,0,31,0,0,-31.0,-31.0
08/10/2010,30503,31,0,31,0,0,-31.0,-31.0
08/11/2010,30548,31,0,31,0,0,-31.0,-31.0
08/12/2010,30580,31,0,31,8,8,-31.0,57.0
08/13/2010,30453,31,1,30,1,1,-20.0,-20.0
08/14/2010,1569,2,0,2,0,0,-2.0,-2.0
08/15/2010,1658,2,0,2,4,2,-2.0,20.0
08/16/2010,30475,31,0,31,10,10,-31.0,79.0
08/17/2010,30338,31,3,28,28,28,2.0,277.0
08/18/2010,30452,31,1,30,1,1,-20.0,-20.0
08/19/2010,30447,31,0,31,0,0,-31.0,-31.0
08/20/2010,30437,31,0,31,0,0,-31.0,-31.0
08/21/2010,1538,2,0,2,0,0,-2.0,-2.0
08/22/2010,1434,2,0,2,0,0,-2.0,-2.0
08/23/2010,30467,31,0,31,0,0,-31.0,-31.0
08/24/2010,30413,31,0,31,0,0,-31.0,-31.0
08/25/2010,30383,31,0,31,0,0,-31.0,-31.0
08/26/2010,30405,31,0,31,0,0,-31.0,-31.0
08/27/2010,30309,31,0,31,0,0,-31.0,-31.0
08/28/2010,1391,2,0,2,0,0,-2.0,-2.0
08/29/2010,1574,2,0,2,0,0,-2.0,-2.0
08/30/2010,30487,31,0,31,0,0,-31.0,-31.0
08/31/2010,30395,31,0,31,0,0,-31.0,-31.0
09/01/2010,30348,31,0,31,0,0,-31.0,-31.0
09/02/2010,30519,31,0,31,0,0,-31.0,-31.0
09/03/2010,30505,31,0,31,0,0,-31.0,-31.0
09/04/2010,1492,2,0,2,0,0,-2.0,-2.0
09/05/2010,1569,2,0,2,0,0,-2.0,-2.0
09/06/2010,1281,2,0,2,0,0,-2.0,-2.0
09/07/2010,30448,31,0,31,0,0,-31.0,-31.0
09/08/2010,30381,31,0,31,0,0,-31.0,-31.0
09/09/2010,30309,31,0,31,0,0,-31.0,-31.0
09/10/2010,30143,31,0,31,0,0,-31.0,-31.0
09/11/2010,1425,2,0,2,0,0,-2.0,-2.0
09/12/2010,1596,2,0,2,0,0,-2.0,-2.0
09/13/2010,30527,31,0,31,0,0,-31.0,-31.0
09/14/2010,30330,31,0,31,0,0,-31.0,-31.0
09/15/2010,30263,31,0,31,0,0,-31.0,-31.0
09/16/2010,30464,31,0,31,0,0,-31.0,-31.0
09/17/2010,30247,31,0,31,0,0,-31.0,-31.0
09/18/2010,1473,2,0,2,0,0,-2.0,-2.0
09/19/2010,1402,2,0,2,0,0,-2.0,-2.0
09/20/2010,30252,31,0,31,0,0,-31.0,-31.0
09/21/2010,30182,31,0,31,0,0,-31.0,-31.0
09/22/2010,30107,31,0,31,0,0,-31.0,-31.0
09/23/2010,30281,31,0,31,0,0,-31.0,-31.0
09/24/2010,30202,31,0,31,0,0,-31.0,-31.0
09/25/2010,1512,2,0,2,0,0,-2.0,-2.0
09/26/2010,1510,2,0,2,0,0,-2.0,-2.0
09/27/2010,30150,31,0,31,0,0,-31.0,-31.0
09/28/2010,30185,31,0,31,0,0,-31.0,-31.0
09/29/2010,30270,31,0,31,0,0,-31.0,-31.0
09/30/2010,30263,31,0,31,0,0,-31.0,-31.0
10/01/2010,30318,31,0,31,0,0,-31.0,-31.0
10/02/2010,1398,2,0,2,0,0,-2.0,-2.0
10/03/2010,1460,2,0,2,0,0,-2.0,-2.0
10/04/2010,30249,31,0,31,0,0,-31.0,-31.0
10/05/2010,30135,31,0,31,0,0,-31.0,-31.0
10/06/2010,30174,31,0,31,0,0,-31.0,-31.0
10/07/2010,30247,31,0,31,0,0,-31.0,-31.0
10/08/2010,30060,31,0,31,0,0,-31.0,-31.0
10/09/2010,1462,2,0,2,0,0,-2.0,-2.0
10/10/2010,1493,2,0,2,0,0,-2.0,-2.0
10/11/2010,30063,31,0,31,0,0,-31.0,-31.0
10/12/2010,30142,31,0,31,0,0,-31.0,-31.0
10/13/2010,30054,31,0,31,0,0,-31.0,-31.0
10/14/2010,30045,31,0,31,0,0,-31.0,-31.0
